"n_per_arm","nsim","p_control","p_treatment","true_risk_difference","mean_estimated_rd","bias_rd","rejection_rate","ci_coverage","metric_label"
96,5000,0.3,0.3,0,0.00147916666666667,0.00147916666666667,0.051,0.9458,"Type I Error Scenario"
96,5000,0.35,0.35,0,-0.000427083333333333,-0.000427083333333333,0.0516,0.945,"Type I Error Scenario"
96,5000,0.4,0.4,0,-0.000433333333333334,-0.000433333333333334,0.0446,0.9526,"Type I Error Scenario"
96,5000,0.3,0.4,0.1,0.0991541666666667,-0.000845833333333365,0.3022,0.9474,"Power Scenario"
96,5000,0.35,0.45,0.1,0.101727083333333,0.00172708333333335,0.2888,0.9454,"Power Scenario"
96,5000,0.4,0.5,0.1,0.101441666666667,0.00144166666666669,0.2898,0.9444,"Power Scenario"
96,5000,0.3,0.45,0.15,0.14914375,-0.000856249999999975,0.5698,0.9476,"Power Scenario"
96,5000,0.35,0.5,0.15,0.15145625,0.00145624999999996,0.554,0.9452,"Power Scenario"
96,5000,0.4,0.55,0.15,0.150829166666667,0.000829166666666631,0.5504,0.9486,"Power Scenario"
96,5000,0.3,0.5,0.2,0.199760416666667,-0.000239583333333349,0.806,0.9408,"Power Scenario"
96,5000,0.35,0.55,0.2,0.202972916666667,0.0029729166666666,0.8076,0.9386,"Power Scenario"
96,5000,0.4,0.6,0.2,0.199452083333333,-0.000547916666666731,0.8,0.9502,"Power Scenario"
